station_name,station_geo,capacity,total_activity,count
Rouget de Lisle,"48.76462,2.40712",35,4208.0,7866
Place Paul Eluard,"48.76720,2.41450",19,2011.0,7866
Conservatoire de Musique,"48.77094,2.40340",25,2358.0,7866
Camille Risch - Paul Armangot,"48.77470,2.37369",25,3001.0,7866
Parc de Sceaux - Centre-Ville,"48.77695,2.29572",33,3805.0,7866
Balzac - Olympes de Gouges,"48.77850,2.40068",28,5322.0,7866
station formation alfortville,"48.77874,2.41977",1,0.0,5
André Theuriet - Blagis,"48.77977,2.31305",30,5677.0,7866
Gare de Robinson,"48.77993,2.28183",30,2693.0,7866
Edouard Tremblay - Julian Grimau,"48.78138,2.37235",30,3276.0,7866
Général Leclerc - Bièvre,"48.78241,2.31667",25,3146.0,7866
Youri Gagarine - Commune de Paris,"48.78243,2.39397",33,8354.0,7866
Lebrun - Colonel Fabien ,"48.78267,2.38132",27,3026.0,7866
Place Aimé Césaire,"48.78319,2.24291",27,1414.0,7866
Stalingrad - Henri Luisette,"48.78363,2.36694",26,3987.0,7866
Youri Gagarine - Karl Marx,"48.78448,2.35908",22,2781.0,7866
Karl Marx,"48.78453,2.36467",16,1451.0,7866
Les Blagis,"48.78520,2.30253",27,2848.0,7866
Marc Sangnier - Division Leclerc,"48.78600,2.32996",24,3546.0,7866
Vanne - Saussaies,"48.78640,2.33885",20,1427.0,7866
République - Auguste Perret,"48.78695,2.35186",30,1871.0,7866
Place Centrale ,"48.78740,2.22788",22,1191.0,7866
Camille Groult - Guy Môquet,"48.78748,2.39767",22,3934.0,7866
Tertres - Fontaine,"48.78755,2.30624",28,1540.0,7866
Maxime Gorki - Louis Aragon,"48.78910,2.36839",20,4947.0,7866
Place de l'Europe,"48.78914,2.42848",24,2339.0,7866
Rond-point du Dr Albert Schweitzer,"48.78981,2.31439",22,2579.0,7866
Gabriel Péri - Danielle Casanova,"48.79011,2.40258",20,3486.0,7866
Liberté - Vert-de-Maisons,"48.79015,2.43286",20,2118.0,7866
Place Saint-Just,"48.79038,2.38952",22,7038.0,7866
Hôtel de Ville de Fontenay-aux-Roses,"48.79084,2.28715",34,2362.0,7866
Marx Dormoy - Château Sainte-Barbe,"48.79178,2.29786",22,1499.0,7866
Place de l'Eglise,"48.79192,2.39506",28,6810.0,7866
Eugène Varlin - Place de la Paix,"48.79286,2.36309",23,3464.0,7866
Parc Départemental des Hautes-Bruyères,"48.79346,2.35090",30,4476.0,7866
Place de la Division Leclerc,"48.79382,2.27311",35,1859.0,7866
Place Eustache Deschamps,"48.79386,2.33664",20,3540.0,7866
Aristide Briand - Gare de Bagneux,"48.79387,2.32115",22,4158.0,7866
Génie - Mozart,"48.79490,2.37342",19,3216.0,7866
Guy Môquet - Parvis Georges Marchais,"48.79519,2.35943",30,2811.0,7866
Carnot - Pâquerettes,"48.79593,2.42618",26,2990.0,7866
Louis Pasteur - Albert Petit,"48.79626,2.31729",31,3301.0,7866
Jules Guesde - Pont du Port à l'Anglais,"48.79629,2.41721",30,3362.0,7866
Maxime Gorki - Paul Vaillant-Couturier,"48.79674,2.36833",20,6111.0,7866
Henri Ravera - Gabriel Péri,"48.79722,2.30212",30,3614.0,7866
Concorde - Stalingrad,"48.79858,2.38213",35,9617.0,7866
Gare Arcueil - Cachan,"48.79982,2.32817",26,4508.0,7866
Mairie de Clamart,"48.80061,2.26215",33,3391.0,7866
Paul Vaillant-Couturier - Gare RER,"48.80108,2.40210",26,7856.0,7866
Place de la Gare,"48.80253,2.42750",46,5511.0,7866
Stalingrad - Germaine Tailleferre,"48.80257,2.37867",28,8142.0,7866
Gare RER - Malleret-Joinville,"48.80294,2.42531",20,4195.0,7866
Quai Jules Guesde - Saint-Simon,"48.80391,2.40897",30,1053.0,2951
Les Juilliottes,"48.80431,2.44374",21,4336.0,7866
Victor Hugo - Ecoles,"48.80476,2.41804",25,5307.0,7866
Amédée Huon - Fort d'Ivry,"48.80513,2.38849",31,6702.0,7866
Gare de Chaville Rive Gauche,"48.80516,2.18828",18,657.0,7866
