station_name,station_geo,capacity,total_activity,count,nearest_station,dateOuverture
Rouget de Lisle,"48.76462,2.40712",35,4208.0,7866,"{'code': 46002, 'codeStr': 46002, 'name': 'Rouget de Lisle', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 14, 'nbEbike': 9, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 9, 'nbEDock': 0, 'latitude': '48.76505000000000', 'longitude': '2.40805000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.76505000000000,2.40805000000000'}",2019-03-28
Place Paul Eluard,"48.76720,2.41450",19,2011.0,7866,"{'code': 46001, 'codeStr': 46001, 'name': 'Place Paul Eluard', 'dateOuverture': '2018-12-20', 'state': 'Operative', 'nbBike': 8, 'nbEbike': 7, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 4, 'nbEDock': 0, 'latitude': '48.76722290000000', 'longitude': '2.41498950000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.76722290000000,2.41498950000000'}",2018-12-20
Conservatoire de Musique,"48.77094,2.40340",25,2358.0,7866,"{'code': 46003, 'codeStr': 46003, 'name': 'Conservatoire de Musique', 'dateOuverture': '2018-11-22', 'state': 'Operative', 'nbBike': 7, 'nbEbike': 4, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 13, 'nbEDock': 0, 'latitude': '48.77107596196057', 'longitude': '2.40324888378382', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.77107596196057,2.40324888378382'}",2018-11-22
Camille Risch - Paul Armangot,"48.77470,2.37369",25,3001.0,7866,"{'code': 44014, 'codeStr': 44014, 'name': 'Camille Risch - Paul Armangot', 'dateOuverture': '2019-02-26', 'state': 'Operative', 'nbBike': 1, 'nbEbike': 2, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 22, 'nbEDock': 0, 'latitude': '48.77470300000000', 'longitude': '2.37368500000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.77470300000000,2.37368500000000'}",2019-02-26
Parc de Sceaux - Centre-Ville,"48.77695,2.29572",33,3805.0,7866,,
Balzac - Olympes de Gouges,"48.77850,2.40068",28,5322.0,7866,"{'code': 44016, 'codeStr': 44016, 'name': 'Balzac - Olympes de Gouges', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 17, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 6, 'nbEDock': 0, 'latitude': '48.77698100000000', 'longitude': '2.40111400000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.77698100000000,2.40111400000000'}",2019-03-28
station formation alfortville,"48.77874,2.41977",1,0.0,5,"{'code': 32303, 'codeStr': 32303, 'name': 'Gaston Roussel - Commune de Paris', 'dateOuverture': '2018-08-13', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 0, 'nbEDock': 0, 'latitude': '48.77893600000000', 'longitude': '2.41971390000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.77893600000000,2.41971390000000'}",2018-08-13
André Theuriet - Blagis,"48.77977,2.31305",30,5677.0,7866,"{'code': 23042, 'codeStr': 23042, 'name': 'André Theuriet - Blagis', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 6, 'nbEbike': 5, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 17, 'nbEDock': 0, 'latitude': '48.78011380000000', 'longitude': '2.31330550000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78011380000000,2.31330550000000'}",2019-03-28
Gare de Robinson,"48.77993,2.28183",30,2693.0,7866,"{'code': 23303, 'codeStr': 23303, 'name': 'Gare de Robinson', 'dateOuverture': '2019-01-23', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 6, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 22, 'nbEDock': 0, 'latitude': '48.78074400000000', 'longitude': '2.28212300000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78074400000000,2.28212300000000'}",2019-01-23
Edouard Tremblay - Julian Grimau,"48.78138,2.37235",30,3276.0,7866,"{'code': 44013, 'codeStr': 44013, 'name': 'Edouard Tremblay-JulianGrimau', 'dateOuverture': '2018-11-14', 'state': 'Operative', 'nbBike': 0, 'nbEbike': 0, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 29, 'nbEDock': 0, 'latitude': '48.78138382511671', 'longitude': '2.37235084176064', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78138382511671,2.37235084176064'}",2018-11-14
Général Leclerc - Bièvre,"48.78241,2.31667",25,3146.0,7866,"{'code': 23041, 'codeStr': 23041, 'name': 'Général Leclerc - Bièvre', 'dateOuverture': '2018-04-11', 'state': 'Operative', 'nbBike': 2, 'nbEbike': 1, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 22, 'nbEDock': 0, 'latitude': '48.78256100000000', 'longitude': '2.31684000000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78256100000000,2.31684000000000'}",2018-04-11
Youri Gagarine - Commune de Paris,"48.78243,2.39397",33,8354.0,7866,"{'code': 44008, 'codeStr': 44008, 'name': 'Youri Gagarine - Commune de Paris', 'dateOuverture': '2019-03-28', 'state': 'Operative', 'nbBike': 9, 'nbEbike': 8, 'nbBikeOverflow': 0, 'nbEbikeOverflow': 0, 'nbFreeEDock': 14, 'nbEDock': 0, 'latitude': '48.78372100000000', 'longitude': '2.39049300000000', 'overflow': '0', 'overflowActivation': '0', 'station_geo': '48.78372100000000,2.39049300000000'}",2019-03-28
